abk_bahnhof,Name Haltestelle,lat,lon
POZZ,Pozzo Negro (dira),46.37258343,8.925407278
MITH,Mitholz (Spw),46.51681488,7.657296591
RECH,Recherswil (NBS),47.15500701,7.610550696
MTRC,Matran PP,46.7893019,7.09723057
LSCH,Lausanne-Chauderon,46.52323,6.626059995
VERX,Vernex (diag),46.44025201,6.905171926
PT,Le Pont,46.66866749,6.324719892
UNDO,"Chavannes-R., UNIL-Chamberonne",46.52421736,6.584707287
BGW,Bremgarten West,47.34569057,8.337110912
IL,Illnau,47.40881919,8.722727521
FIBF,"Fiesch, Bahnhof",46.40622021,8.134451019
SGMW,"St. Gallen, Moosweiher",47.40945759,9.336868841
MOWG,Mörel Wassererfassung,46.35227869,8.040402373
PALP,Palézieux Pont,46.56103854,6.842446985
FERD,Ferden (Spw),46.40295255,7.737262651
CLIE,Clies,46.46776,6.854909997
CFG,La Chaux-de-Fonds-Grenier,47.09975182,6.833682795
SGFB,"St. Gallen, Fürstenlandbrücke",47.40790787,9.328225844
SS,Sursee,47.17079504,8.097893865
EGL,Eglisau,47.57237455,8.516558016
SLG,Sulgen,47.53880403,9.183694439
BOSS,Bossière,46.50974851,6.699321762
VEY,Veytaux-Chillon,46.4176212,6.927860782
NEBN,Nebikon Nord (Abzw),47.20347999,7.973309996
LSBL,Lausanne Bellerive,46.53889905,6.633949846
VESA,Versam-Safien,46.80738,9.310299995
TABR,Tavanasa-Breil/Brigels,46.75476,9.062429998
FF,Frauenfeld,47.5581634,8.896559673
LZBR,Luzern Brünig,47.05022,8.310859998
BUVC,"Bugnei, via Alpsu",46.68112511,8.787752239
GABU,"Gampel, Burketen",46.31251385,7.714839466
URD,Urdorf,47.39088334,8.434730698
KOL,Kollbrunn,47.4583242,8.774016936
WSEE,Winterthur Seen,47.48743542,8.766813491
WEBM,Weberei Matzingen,47.52728984,8.921956122
CHAN,Chantemerle-près-Blonay,46.46165,6.906540002
